Co-term, , , , , , , ,Target,Co-term
Dynasty,shi,han,houhan,sanguo,jiutang,song,ming,Total,Total
孤,128,130,211,173,368,449,346,1805,1805
泗,58,52,21,15,145,369,276,936,936
磬,13,14,10,1,54,259,12,363,363
蠙,1,1,0,0,1,5,2,10,10
珠,29,72,69,33,179,334,358,1074,1074
臮,1,3,0,0,1,3,0,8,8
魚,99,107,100,51,385,447,327,1516,1516
纖,13,17,32,11,39,54,53,219,219
縞,7,6,8,2,9,11,13,56,56
揚,61,187,163,177,610,1014,763,2975,2975
蠡,49,46,46,4,33,23,41,242,242
震,43,214,380,121,405,999,1473,3635,3635
竹,37,53,63,57,128,341,242,921,921
箭,6,10,11,13,64,497,83,684,684
夭,24,44,29,13,21,18,31,180,180
喬,5,3,87,15,37,151,333,631,631
雜,35,155,84,29,481,943,433,2160,2160
瑤,5,3,9,3,86,107,345,558,558
琨,2,0,3,9,15,17,3,49,49
齒,59,68,41,33,134,220,199,754,754
旄,20,24,28,12,49,50,4,187,187
島,5,0,4,10,16,117,227,379,379
卉,2,4,5,0,2,12,5,30,30
貝,6,28,4,1,119,160,28,346,346
橘,5,4,3,3,5,15,5,40,40
柚,3,3,4,0,1,5,1,17,17
錫,29,41,30,48,284,782,831,2045,2045
漢,1653,2560,1296,754,2394,2334,1284,12275,12275
沱,7,5,8,1,6,32,79,138,138
涔,3,0,0,0,4,7,3,17,17
夢,84,62,40,32,73,405,479,1175,1175
杶,1,1,1,0,0,5,0,8,8
榦,2,0,2,0,0,45,2,51,51
栝,1,1,1,0,0,4,0,7,7
柏,39,55,33,5,92,103,158,485,485
礪,3,0,1,3,45,133,29,214,214
砮,4,4,1,1,0,0,11,21,21
箘,1,1,0,0,0,0,1,3,3
簬,1,0,0,0,0,1,0,2,2
楛,3,3,2,3,2,0,2,15,15
匭,2,1,0,0,38,22,2,65,65
菁,2,3,2,1,5,9,11,33,33
茅,27,33,34,7,57,92,96,346,346
纁,1,1,16,0,37,35,66,156,156
組,5,21,11,1,37,46,23,144,144
龜,119,89,97,17,180,408,60,970,970
踰,39,60,48,20,11,90,16,284,284
雒,86,128,178,18,12,5,99,526,526
伊,72,113,105,52,217,201,104,864,864
瀍,2,2,0,0,17,7,2,30,30
澗,1,4,10,7,24,86,88,220,220
滎,133,121,22,5,67,53,54,455,455
荷,11,11,22,21,114,85,89,353,353
被,157,300,407,127,599,1204,2117,4911,4911
壚,1,1,1,1,0,5,4,13,13
紵,3,6,4,3,8,14,40,78,78
絮,11,26,11,3,7,17,11,86,86
達,44,78,162,195,654,838,1473,3444,3444
嶓,3,3,2,0,0,0,3,11,11
蔡,295,142,129,34,387,1425,301,2713,2713
旅,46,65,76,61,216,393,154,1011,1011
驪,44,28,43,9,29,6,4,163,163
璆,3,2,25,3,29,38,0,100,100
鐵,41,100,75,13,474,945,439,2087,2087
銀,13,40,40,34,550,1414,1420,3511,3511
鏤,9,10,17,3,19,61,26,145,145
狐,64,54,46,25,201,83,42,515,515
貍,7,2,0,3,2,1,2,17,17
傾,46,88,101,88,214,256,239,1032,1032
桓,419,208,498,117,102,132,93,1569,1569
潛,11,16,103,100,406,772,506,1914,1914
沔,6,9,8,24,131,201,71,450,450
渭,57,94,25,32,287,451,164,1110,1110
涇,40,32,26,8,431,642,210,1389,1389
灃,4,0,0,0,12,3,16,35,35
鼠,20,49,13,11,67,66,46,272,272
隰,13,7,9,2,81,108,21,241,241
琳,4,3,7,22,139,112,63,350,350
琅,11,123,76,30,34,39,11,324,324
玕,1,1,1,0,2,15,0,20,20
積,104,242,291,92,521,1682,1089,4021,4021
昆,122,291,97,6,214,79,136,945,945
侖,9,15,0,0,9,6,9,48,48
支,46,174,93,58,865,1105,600,2941,2941
搜,2,29,13,2,83,97,159,385,385
汧,7,9,12,4,26,15,28,101,101
柱,64,69,56,19,449,185,353,1195,1195
城,1052,1128,1356,826,4251,6660,6259,21532,21532
王,9251,8148,3379,1616,9093,11586,13144,56217,56217
屋,41,85,73,40,156,319,191,905,905
圉,66,34,11,3,22,38,30,204,204
尾,23,58,73,26,99,1354,226,1859,1859
冢,49,82,62,13,33,19,61,319,319
内,2,0,0,0,0,0,0,2,2
陰,446,743,596,157,774,1929,941,5586,5586
盟,157,45,46,59,239,266,79,891,891
津,59,36,78,66,182,450,384,1255,1255
邳,36,36,57,41,20,26,123,339,339
逆,163,333,272,179,709,493,615,2764,2764
瀁,1,0,2,1,0,4,0,8,8
浪,3,14,32,30,36,96,181,392,392
澨,1,1,0,0,0,3,1,6,6
匯,3,2,2,1,33,23,115,179,179
醴,10,14,15,7,64,257,108,475,475
迆,1,1,0,0,0,6,0,8,8
泆,3,2,0,0,1,9,1,16,16
穴,14,27,38,14,73,133,124,423,423
㵎,1,0,0,0,0,0,0,1,1
攸,13,6,30,87,127,219,39,521,521
奧,4,37,20,8,38,64,37,208,208
栞,2,0,0,0,0,8,0,10,10
滌,7,10,13,1,54,70,33,188,188
府,124,415,554,197,3488,7537,7376,19691,19691
祗,12,22,29,47,114,634,53,911,911
台,19,40,118,27,620,1209,390,2423,2423
距,89,134,20,3,88,622,755,1711,1711
甸,5,6,5,4,39,119,364,542,542
緫,1,15,6,3,0,0,0,25,25
銍,2,7,4,5,1,4,0,23,23
秸,1,0,0,1,7,22,0,31,31
粟,107,109,53,13,238,705,330,1555,1555
米,16,30,36,34,270,998,668,2052,2052
采,68,139,112,35,304,478,384,1520,1520
綏,8,74,27,41,163,343,462,1118,1118
武,1194,1444,1779,650,5342,5948,6379,22736,22736
要,106,154,160,126,564,1474,820,3404,3404
朔,215,521,255,51,2022,2427,801,6292,6292
暨,3,3,10,19,61,122,106,324,324
訖,8,38,43,26,181,574,207,1077,1077
圭,15,24,18,8,49,381,236,731,731
前,437,876,989,556,2583,5604,3255,14300,14300
述,127,67,256,64,280,449,191,1434,1434
輔,101,415,390,218,736,1236,1487,4583,4583
翼,35,99,109,75,273,822,469,1882,1882
安,1109,2041,1588,982,4197,11270,6811,27998,27998
智,159,93,160,122,439,440,401,1814,1814
乎,928,677,813,347,956,1725,838,6284,6284
巧,45,86,56,43,115,158,103,606,606
柔,21,38,50,90,136,299,102,736,736
愿,1,5,1,0,28,20,0,55,55
擾,28,45,89,77,197,572,348,1356,1356
毅,70,18,51,38,100,269,236,782,782
廉,174,198,279,87,302,515,605,2160,2160
宣,304,720,385,275,1390,4120,3490,10684,10684
蚤,63,52,3,0,1,72,2,193,193
翊,3,53,78,29,145,461,226,995,995
嚴,88,293,263,163,698,1285,1391,4181,4181
亮,3,3,43,519,323,663,342,1896,1896
翕,23,43,34,11,27,68,32,238,238
俊,15,57,138,73,567,975,748,2573,2573
乂,7,8,20,39,178,68,33,353,353
吏,500,1470,1071,486,2174,4472,3380,13553,13553
肅,71,110,227,195,800,986,944,3333,3333
邪,267,583,423,224,326,913,360,3096,3096
討,43,59,377,442,1191,1491,1573,5176,5176
贊,107,116,138,107,726,575,991,2760,2760
孳,8,18,10,0,7,38,42,123,123
舟,30,30,39,49,193,883,972,2196,2196
鮮,70,88,276,103,111,149,392,1189,1189
浚,7,24,19,22,136,1387,729,2324,2324
澮,8,1,0,0,16,17,14,56,56
補,47,120,132,52,504,2093,554,3502,3502
清,97,178,445,189,1400,2513,3102,7924,7924
待,197,242,185,207,670,2013,694,4208,4208
休,99,212,163,304,597,625,427,2427,2427
股,33,40,26,22,59,143,152,475,475
肱,19,25,41,22,33,39,36,215,215
繡,18,48,36,87,82,314,179,764,764
滑,32,14,7,4,292,272,32,653,653
匡,49,119,150,74,272,22,88,774,774
拂,11,17,30,1,45,105,53,262,262
面,150,152,126,83,547,918,693,2669,2669
諛,37,35,19,8,32,77,60,268,268
退,100,197,318,257,829,2328,1023,5052,5052
謗,25,49,61,34,108,202,136,615,615
嬖,30,11,19,4,26,53,42,185,185
慢,26,18,35,28,89,410,64,670,670
游,239,243,92,42,122,215,127,1080,1080
朋,24,56,35,12,172,359,160,818,818
絕,393,688,441,206,681,1004,953,4366,4366
壬,98,182,184,37,774,2940,1060,5275,5275
癸,86,215,170,47,769,2813,1054,5154,5154
甲,354,390,352,114,1278,4495,1826,8809,8809
啓,11,1,5,0,8,10,83,118,118
建,374,819,976,536,1616,4539,2994,11854,11854
念,52,109,132,63,293,393,346,1388,1388
儀,264,229,231,187,1772,3105,1581,7369,7369
幾,92,177,119,54,472,1981,1250,4145,4145
起,677,864,686,280,1322,3825,3123,10777,10777
熙,15,15,51,108,61,3315,423,3988,3988
手,72,92,174,124,442,1445,696,3045,3045
憲,34,81,428,28,733,847,1160,3311,3311
良,276,457,363,200,1020,2444,1759,6519,6519
